Title,Price,Tags
Button City,Rp 98 099,"Adventure, Narrative, Exploration, Cute"
Atomic Society,Rp 76 799,"Strategy, Simulation, City Builder, Post-apocalyptic"
When The Night Comes,Rp 83 999,"LGBTQ+, Dating Sim, Visual Novel, Romance"
City of Gangsters,Rp 139 999,"Resource Management, Crime, Procedural Generation, Strategy"
Burned Land,Rp 87 199,"4X, Perma Death, Turn-Based, Turn-Based Strategy"
Cute Cats,Rp 5 099,"Casual, Puzzle, Hidden Object, Cute"
Pop This Pop-It,Rp 5 099,"Action, Clicker, Rhythm, Indie"
Jigsaw Frame: Relax,Rp 14 999,"Casual, Puzzle, Relaxing, Surreal"
Last Days,Rp 4 249,"Early Access, Visual Novel, Word Game, Linear"
Hunter Girls,Rp 39 999,"Runner, Pixel Graphics, Casual, Fantasy"
Apopia: Prologue,Free,"Adventure, Story Rich, Soundtrack, Funny"
The Night Way Home | 帰り道,Rp 35 999,"Adventure, Puzzle, Hidden Object, 3D"
Zenko: A Fox's Tale,Free,"Adventure, Casual, Platformer, Singleplayer"
Simple Fish Adventure,Rp 21 449,"Physics, Simulation, Platformer, Side Scroller"
Action Entities,Rp 39 999,"Action, Shooter, Survival Horror, Arena Shooter"
Grand Theft Auto V: Premium Edition,Rp 148 370,"Action, Open World, Multiplayer, Adventure"
Back 4 Blood,Rp 749 000,"Action, Zombies, Shooter, Online Co-Op"
It Takes Two,Rp 421 500,"Co-op, Adventure, Split Screen, Puzzle"
Disco Elysium - The Final Cut,Rp 101 999,"RPG, Story Rich, Choices Matter, Detective"
Stardew Valley,Rp 69 599,"Farming Sim, Life Sim, RPG, Pixel Graphics"
Overcooked! 2,Rp 67 999,"Multiplayer, Online Co-Op, Local Co-Op, Co-op"
Draw & Guess,Rp 24 999,"Casual, Multiplayer, Hand-drawn, Family Friendly"
Iron Harvest,Rp 169 500,"RTS, Strategy, Base Building, Mechs"
Tribes of Midgard,Rp 135 999,"Action, Tower Defense, Roguelike, Adventure"
HUMANKIND™,Rp 498 000,"Strategy, Turn-Based Strategy, 4X, Historical"
Phasmophobia,Rp 76 499,"Horror, Online Co-Op, Multiplayer, Psychological Horror"
CS:GO Prime Status Upgrade,Rp 212 999,"FPS, Shooter, Multiplayer, Competitive"
Hollow Knight,Rp 57 999,"Metroidvania, Souls-like, Platformer, Great Soundtrack"
Valheim,Rp 98 099,"Open World Survival Craft, Survival, Online Co-Op, Open World"
Age of Empires IV,Rp 249 999,"Strategy, RTS, Multiplayer, Singleplayer"
Counter-Strike: Global Offensive,Free to Play,"FPS, Shooter, Multiplayer, Competitive"
Dota 2,Free to Play,"Free to Play, MOBA, Multiplayer, Strategy"
PUBG: BATTLEGROUNDS,Rp 219 999,"Survival, Shooter, Multiplayer, Battle Royale"
Apex Legends™,Free to Play,"Free to Play, Battle Royale, Multiplayer, Shooter"
Grand Theft Auto V,,"Open World, Action, Multiplayer, Automobile Sim"
Rust,Rp 169 999,"Survival, Crafting, Multiplayer, Open World"
Team Fortress 2,Free to Play,"Free to Play, Hero Shooter, Multiplayer, FPS"
Tom Clancy's Rainbow Six® Siege,Rp 205 000,"FPS, Hero Shooter, Multiplayer, Tactical"
Bless Unleashed,Free To Play,"RPG, Action, MMORPG, Massively Multiplayer"
Warframe,Free to Play,"Free to Play, Looter Shooter, Action, Co-op"
Back 4 Blood: Open Beta,,"Action, Gore, Violent, Zombies"
Splitgate (Beta),Free To Play,"Free to Play, FPS, Arena Shooter, Multiplayer"
Football Manager 2021,Rp 499 999,"Sports, Simulation, Management, Singleplayer"
ARK: Survival Evolved,Rp 139 999,"Open World Survival Craft, Survival, Open World, Multiplayer"
Dead by Daylight,Rp 135 999,"Horror, Survival Horror, Multiplayer, Online Co-Op"
Automation* of Sorts,,"Action, Casual, Arcade, Puzzle"
Take town,,"Strategy, Political Sim, City Builder, Cute"
The Key of Rednow,,"CRPG, Exploration, Puzzle, JRPG"
Janusz: The Handyman Simulator,,"Education, Simulation, Immersive Sim, Building"
- R E F L E C T E D -,,"Casual, Puzzle Platformer, 2D, Pixel Graphics"
An Absolutely Not Suspicious Cabin in the Woods,,"Indie, Replay Value, Difficult, Dark"
Mech Armada,,"Early Access, Turn-Based Tactics, Mechs, Strategy"
Carrier Command 2,,"Strategy, Simulation, Adventure, Action-Adventure"
Patron,,"Simulation, City Builder, Colony Sim, Strategy"
Atrio: The Dark Wild,,"Early Access, Survival, Open World Survival Craft, Crafting"
Black Book,,"Strategy, RPG, Indie, Adventure"
Lawn Mowing Simulator,,"Simulation, Farming Sim, Immersive Sim, Realistic"
Somewhere in the Shadow,,"Horror, Adventure, Co-op, Online Co-Op"
Redaxium,,"RPG, Point & Click, CRPG, 3D"
The Last Hope: Zombie Defense TD,,"Strategy, Tower Defense, Real Time Tactics, 2D"
